"table_schema","table_name","column_name","data_type"
"public","A_message","email","character varying"
"public","A_message","subject","character varying"
"public","A_message","body","text"
"public","A_message","is_read","boolean"
"public","A_message","created","timestamp with time zone"
"public","A_message","id","uuid"
"public","A_message","recipient_id","bigint"
"public","A_message","sender_id","bigint"
"public","A_message","name","character varying"
"public","A_profile","username","character varying"
"public","A_profile","short_intro","character varying"
"public","A_profile","location","character varying"
"public","A_profile","social_website","character varying"
"public","A_profile","social_youtube","character varying"
"public","A_profile","social_linkedin","character varying"
"public","A_profile","social_twitter","character varying"
"public","A_profile","social_github","character varying"
"public","A_profile","user_id","integer"
"public","A_profile","created","timestamp with time zone"
"public","A_profile","name","character varying"
"public","A_profile","profile_image","character varying"
"public","A_profile","id","bigint"
"public","A_profile","bio","text"
"public","A_profile","email","character varying"
"public","A_skill","owner_id","bigint"
"public","A_skill","name","character varying"
"public","A_skill","created","timestamp with time zone"
"public","A_skill","id","uuid"
"public","A_skill","description","text"
"public","account_emailaddress","verified","boolean"
"public","account_emailaddress","primary","boolean"
"public","account_emailaddress","email","character varying"
"public","account_emailaddress","id","integer"
"public","account_emailaddress","user_id","integer"
"public","account_emailconfirmation","email_address_id","integer"
"public","account_emailconfirmation","created","timestamp with time zone"
"public","account_emailconfirmation","sent","timestamp with time zone"
"public","account_emailconfirmation","id","integer"
"public","account_emailconfirmation","key","character varying"
"public","auth_group","name","character varying"
"public","auth_group","id","integer"
"public","auth_group_permissions","id","bigint"
"public","auth_group_permissions","permission_id","integer"
"public","auth_group_permissions","group_id","integer"
"public","auth_permission","codename","character varying"
"public","auth_permission","id","integer"
"public","auth_permission","content_type_id","integer"
"public","auth_permission","name","character varying"
"public","auth_user","is_active","boolean"
"public","auth_user","is_staff","boolean"
"public","auth_user","date_joined","timestamp with time zone"
"public","auth_user","id","integer"
"public","auth_user","email","character varying"
"public","auth_user","last_name","character varying"
"public","auth_user","first_name","character varying"
"public","auth_user","username","character varying"
"public","auth_user","last_login","timestamp with time zone"
"public","auth_user","password","character varying"
"public","auth_user","is_superuser","boolean"
"public","auth_user_groups","id","bigint"
"public","auth_user_groups","user_id","integer"
"public","auth_user_groups","group_id","integer"
"public","auth_user_user_permissions","user_id","integer"
"public","auth_user_user_permissions","permission_id","integer"
"public","auth_user_user_permissions","id","bigint"
"public","django_admin_log","object_repr","character varying"
"public","django_admin_log","action_time","timestamp with time zone"
"public","django_admin_log","action_flag","smallint"
"public","django_admin_log","content_type_id","integer"
"public","django_admin_log","user_id","integer"
"public","django_admin_log","id","integer"
"public","django_admin_log","change_message","text"
"public","django_admin_log","object_id","text"
"public","django_content_type","app_label","character varying"
"public","django_content_type","model","character varying"
"public","django_content_type","id","integer"
"public","django_migrations","name","character varying"
"public","django_migrations","applied","timestamp with time zone"
"public","django_migrations","app","character varying"
"public","django_migrations","id","bigint"
"public","django_session","expire_date","timestamp with time zone"
"public","django_session","session_data","text"
"public","django_session","session_key","character varying"
"public","myapp_colourmodel","Colour","character varying"
"public","myapp_colourmodel","Product_id","bigint"
"public","myapp_colourmodel","id","bigint"
"public","myapp_imagemodel","Image","character varying"
"public","myapp_imagemodel","Product_id","bigint"
"public","myapp_imagemodel","id","bigint"
"public","myapp_mainmodel","id","bigint"
"public","myapp_mainmodel","Description","text"
"public","myapp_mainmodel","Quality","character varying"
"public","myapp_mainmodel","unique_code","uuid"
"public","myapp_mainmodel","Price","integer"
"public","myapp_mainmodel","Title","character varying"
"public","myapp_mainmodel","Size","integer"
"public","oauth2_provider_accesstoken","created","timestamp with time zone"
"public","oauth2_provider_accesstoken","id_token_id","bigint"
"public","oauth2_provider_accesstoken","source_refresh_token_id","bigint"
"public","oauth2_provider_accesstoken","updated","timestamp with time zone"
"public","oauth2_provider_accesstoken","scope","text"
"public","oauth2_provider_accesstoken","id","bigint"
"public","oauth2_provider_accesstoken","expires","timestamp with time zone"
"public","oauth2_provider_accesstoken","token","character varying"
"public","oauth2_provider_accesstoken","application_id","bigint"
"public","oauth2_provider_accesstoken","user_id","integer"
"public","oauth2_provider_application","authorization_grant_type","character varying"
"public","oauth2_provider_application","id","bigint"
"public","oauth2_provider_application","user_id","integer"
"public","oauth2_provider_application","skip_authorization","boolean"
"public","oauth2_provider_application","created","timestamp with time zone"
"public","oauth2_provider_application","updated","timestamp with time zone"
"public","oauth2_provider_application","client_id","character varying"
"public","oauth2_provider_application","redirect_uris","text"
"public","oauth2_provider_application","client_type","character varying"
"public","oauth2_provider_application","client_secret","character varying"
"public","oauth2_provider_application","name","character varying"
"public","oauth2_provider_application","algorithm","character varying"
"public","oauth2_provider_grant","updated","timestamp with time zone"
"public","oauth2_provider_grant","created","timestamp with time zone"
